page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,condo_name,city
9,0,                Casa de condominio com 6 Quartos a Venda 980m2            ,www.vivareal.com.br/imovel/casa-de-condominio-6-quartos-aldeia-da-serra-bairros-barueri-com-garagem-980m2-venda-RS9000000-id-2482351891/,"                Alameda Dourada - Aldeia da Serra, Barueri - SP              ",980.0,6.0,5.0,9000000,9,5.0,Casa,Alameda Dourada,,,Barueri  SP
9,1,                Casa de condominio com 3 Quartos a Venda 430m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-430m2-venda-RS1700000-id-86433988/,"                Alameda Tuim - Aldeia da Serra, Barueri - SP              ",430.0,3.0,1.0,1700000,5,4.0,Casa,Alameda Tuim,,,Barueri  SP
9,2,                Sobrado com 4 Quartos a Venda 280m2            ,www.vivareal.com.br/imovel/sobrado-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-280m2-venda-RS1180000-id-2459817819/,"                Alameda das Carnaúbas, 82 - Aldeia da Serra, Santana de Parnaíba - SP              ",280.0,4.0,2.0,1180000,4,4.0,Casa,Alameda das Carnaúbas,82.0,,Santana de Parnaíba  SP
9,3,                SalaConjunto    para VendaAluguel 38m2            ,www.vivareal.com.br/imovel/sala-comercial-aldeia-da-serra-bairros-barueri-38m2-venda-RS255000-id-2482348563/,"                Avenida da Barra - Aldeia da Serra, Barueri - SP              ",38.0,,,255000,3,,Comercial,Avenida da Barra,,,Barueri  SP
9,4,                Casa de condominio com 4 Quartos a Venda 330m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-330m2-venda-RS1300000-id-2445708705/,"                Aldeia da Serra, Santana de Parnaíba - SP              ",330.0,4.0,4.0,1300000,6,6.0,Casa,,,,Santana de Parnaíba  SP
9,5,                FazendaSitioChacara    a Venda 6000m2            ,www.vivareal.com.br/imovel/fazenda---sitio-aldeia-da-serra-bairros-santana-de-parnaiba-6000m2-venda-RS11000000-id-2484021843/,"                Estrada da União - Aldeia da Serra, Santana de Parnaíba - SP              ",6000.0,,,11000000,,,Rural,Estrada da União,,,Santana de Parnaíba  SP
9,6,                Casa de condominio com 4 Quartos a Venda 330m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-330m2-venda-RS1500000-id-2447832589/,"                Aldeia da Serra, Santana de Parnaíba - SP              ",330.0,4.0,4.0,1500000,6,6.0,Casa,,,,Santana de Parnaíba  SP
9,7,                LoteTerreno    a Venda 384m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-384m2-venda-RS250000-id-2476299519/,"                Estrada Doutor Yojiro Takaoka, 2165 - Aldeia da Serra, Barueri - SP              ",384.0,,,250000,,,Lote,Estrada Doutor Yojiro Takaoka,2165.0,,Barueri  SP
9,8,                Casa de condominio com 3 Quartos a Venda 430m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-430m2-venda-RS1700000-id-86433842/,"                Alameda dos Jasmins - Aldeia da Serra, Santana de Parnaíba - SP              ",430.0,3.0,3.0,1700000,5,4.0,Casa,Alameda dos Jasmins,,,Santana de Parnaíba  SP
9,9,                Casa de condominio com 6 Quartos a Venda 698m2            ,www.vivareal.com.br/imovel/casa-de-condominio-6-quartos-aldeia-da-serra-bairros-barueri-com-garagem-698m2-venda-RS2600000-id-2482349934/,"                Alameda Riguel - Aldeia da Serra, Barueri - SP              ",698.0,6.0,6.0,2600000,9,6.0,Casa,Alameda Riguel,,,Barueri  SP
